,Player,Matches,Points,Runs,100s,50s,6s,Wickets,4w,5w
0,Virat Kohli,16,356.5,973.0,4.0,7.0,38.0,0.0,0.0,0.0
1,David Warner,17,338.5,848.0,0.0,9.0,31.0,0.0,0.0,0.0
2,AB de Villiers,16,319.5,687.0,1.0,6.0,37.0,0.0,0.0,0.0
3,Shane Watson,16,283.0,179.0,0.0,0.0,12.0,20.0,1.0,0.0
4,Bhuvneshwar Kumar,17,270.0,43.0,0.0,0.0,1.0,23.0,1.0,0.0
5,Chris Morris,12,247.0,195.0,0.0,1.0,12.0,13.0,0.0,0.0
6,Dwayne Smith,12,229.0,324.0,0.0,3.0,16.0,8.0,1.0,0.0
7,Andre Russell,12,225.0,188.0,0.0,0.0,15.0,15.0,1.0,0.0
8,Moises Henriques,17,217.0,182.0,0.0,0.0,6.0,12.0,0.0,0.0
9,Mitchell McClenaghan,14,203.0,34.0,0.0,0.0,3.0,17.0,1.0,0.0
10,Dhawal Kulkarni,14,203.0,23.0,0.0,0.0,0.0,18.0,1.0,0.0
11,Mustafizur Rahman,16,201.5,0.0,0.0,0.0,0.0,17.0,0.0,0.0
12,Dwayne Bravo,15,198.5,99.0,0.0,0.0,1.0,17.0,1.0,0.0
13,Quinton de Kock,13,185.5,445.0,1.0,3.0,13.0,0.0,0.0,0.0
14,Sandeep Sharma,14,184.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0
15,Ajinkya Rahane,14,184.0,480.0,0.0,6.0,9.0,0.0,0.0,0.0
16,Rohit Sharma,14,183.5,489.0,0.0,5.0,16.0,0.0,0.0,0.0
17,Yuzvendra Chahal,13,183.5,0.0,0.0,0.0,0.0,21.0,1.0,0.0
18,Axar Patel,14,179.5,111.0,0.0,0.0,8.0,13.0,1.0,0.0
19,Krunal Pandya,12,179.5,237.0,0.0,1.0,13.0,6.0,0.0,0.0
20,Praveen Kumar,16,178.5,28.0,0.0,0.0,0.0,9.0,0.0,0.0
21,Robin Uthappa,15,175.5,394.0,0.0,3.0,8.0,0.0,0.0,0.0
22,Lokesh Rahul,14,171.0,397.0,0.0,4.0,16.0,0.0,0.0,0.0
23,Shikhar Dhawan,17,168.0,501.0,0.0,4.0,8.0,0.0,0.0,0.0
24,Murali Vijay,14,167.0,453.0,0.0,5.0,10.0,0.0,0.0,0.0
25,Jasprit Bumrah,14,165.5,0.0,0.0,0.0,0.0,15.0,0.0,0.0
26,Suresh Raina,15,165.0,399.0,0.0,3.0,10.0,0.0,0.0,0.0
27,Mohit Sharma,14,161.0,32.0,0.0,0.0,1.0,13.0,0.0,0.0
28,Barinder Sran,14,161.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0
29,Harbhajan Singh,14,159.0,92.0,0.0,0.0,2.0,9.0,0.0,0.0
30,Gautam Gambhir,15,158.5,501.0,0.0,5.0,6.0,0.0,0.0,0.0
31,Aaron Finch,13,158.5,393.0,0.0,5.0,11.0,0.0,0.0,0.0
32,Ravindra Jadeja,15,158.0,191.0,0.0,0.0,4.0,8.0,0.0,0.0
33,Thisara Perera,12,156.0,150.0,0.0,0.0,11.0,9.0,0.0,0.0
34,Chris Gayle,10,154.0,227.0,0.0,2.0,21.0,2.0,0.0,0.0
35,Sunil Narine,11,153.5,0.0,0.0,0.0,0.0,11.0,0.0,0.0
36,Yusuf Pathan,15,153.0,361.0,0.0,3.0,13.0,1.0,0.0,0.0
37,Brendon McCullum,16,151.0,354.0,0.0,1.0,16.0,0.0,0.0,0.0
38,Tim Southee,11,150.0,30.0,0.0,0.0,2.0,9.0,0.0,0.0
39,Zaheer Khan,12,148.5,0.0,0.0,0.0,0.0,10.0,0.0,0.0
40,Ravichandran Ashwin,14,146.5,41.0,0.0,0.0,1.0,10.0,1.0,0.0
41,Amit Mishra,14,146.0,0.0,0.0,0.0,0.0,13.0,1.0,0.0
42,Dinesh Karthik,16,140.5,335.0,0.0,3.0,3.0,0.0,0.0,0.0
43,Piyush Chawla,12,137.0,27.0,0.0,0.0,0.0,11.0,0.0,0.0
44,Karun Nair,14,128.5,357.0,0.0,3.0,6.0,0.0,0.0,0.0
45,Morne Morkel,10,124.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
46,MS Dhoni,14,124.0,284.0,0.0,1.0,14.0,0.0,0.0,0.0
47,Ashok Dinda,9,122.5,0.0,0.0,0.0,0.0,11.0,0.0,0.0
48,Ambati Rayudu,13,122.0,334.0,0.0,2.0,12.0,0.0,0.0,0.0
49,Shakib Al Hasan,10,120.5,114.0,0.0,1.0,5.0,5.0,0.0,0.0
50,Carlos Brathwaite,8,116.0,83.0,0.0,0.0,8.0,7.0,0.0,0.0
51,Marcus Stoinis,7,113.5,146.0,0.0,1.0,4.0,8.0,1.0,0.0
52,Jos Buttler,14,113.5,255.0,0.0,0.0,11.0,0.0,0.0,0.0
53,Sreenath Arvind,9,111.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0
54,Yuvraj Singh,10,110.0,236.0,0.0,0.0,13.0,0.0,0.0,0.0
55,Ashish Nehra,8,106.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0
56,Wriddhiman Saha,12,101.0,270.0,0.0,2.0,1.0,0.0,0.0,0.0
57,Steve Smith,8,100.5,270.0,1.0,0.0,8.0,0.0,0.0,0.0
58,Kieron Pollard,13,100.0,207.0,0.0,1.0,16.0,0.0,0.0,0.0
59,Chris Jordan,9,97.5,0.0,0.0,0.0,0.0,11.0,1.0,0.0
60,Parthiv Patel,10,96.5,177.0,0.0,1.0,4.0,0.0,0.0,0.0
61,Manish Pandey,12,91.5,248.0,0.0,2.0,9.0,0.0,0.0,0.0
62,Rajat Bhatia,10,89.5,34.0,0.0,0.0,2.0,6.0,0.0,0.0
63,Sanju Samson,14,88.0,291.0,0.0,1.0,8.0,0.0,0.0,0.0
64,Umesh Yadav,9,87.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0
65,Glenn Maxwell,11,86.5,179.0,0.0,2.0,8.0,0.0,0.0,0.0
66,Faf du Plessis,6,84.0,206.0,0.0,2.0,9.0,0.0,0.0,0.0
67,Suryakumar Yadav,15,80.0,186.0,0.0,1.0,5.0,0.0,0.0,0.0
68,Naman Ojha,17,80.0,136.0,0.0,0.0,5.0,0.0,0.0,0.0
69,Iqbal Abdulla,8,79.5,37.0,0.0,0.0,1.0,6.0,0.0,0.0
70,Murugan Ashwin,10,79.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0
71,Deepak Hooda,17,79.0,144.0,0.0,0.0,5.0,3.0,0.0,0.0
72,Rishabh Pant,10,76.0,198.0,0.0,1.0,6.0,0.0,0.0,0.0
73,Ben Cutting,4,74.0,65.0,0.0,0.0,6.0,5.0,0.0,0.0
74,Adam Zampa,5,74.0,0.0,0.0,0.0,0.0,12.0,0.0,1.0
75,JP Duminy,10,69.5,191.0,0.0,0.0,3.0,2.0,0.0,0.0
76,Shivil Kaushik,7,69.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
77,David Miller,14,66.5,161.0,0.0,0.0,4.0,0.0,0.0,0.0
78,Saurabh Tiwary,10,66.5,170.0,0.0,2.0,4.0,0.0,0.0,0.0
79,Manan Vohra,7,65.5,161.0,0.0,1.0,3.0,0.0,0.0,0.0
80,Stuart Binny,14,65.5,63.0,0.0,0.0,4.0,1.0,0.0,0.0
81,Gurkeerat Mann Singh,7,64.5,113.0,0.0,1.0,3.0,2.0,0.0,0.0
82,Hardik Pandya,11,64.5,44.0,0.0,0.0,0.0,3.0,0.0,0.0
83,Hashim Amla,6,64.0,157.0,0.0,1.0,4.0,0.0,0.0,0.0
84,Kane Richardson,4,63.5,0.0,0.0,0.0,0.0,7.0,0.0,0.0
85,Mohammed Shami,8,59.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
86,Bipul Sharma,7,56.5,51.0,0.0,0.0,5.0,3.0,0.0,0.0
87,Varun Aaron,8,55.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
88,Sachin Baby,11,54.5,119.0,0.0,0.0,5.0,2.0,0.0,0.0
89,KC Cariappa,5,54.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
90,James Faulkner,7,53.0,77.0,0.0,0.0,0.0,2.0,0.0,0.0
91,Brad Hogg,5,52.5,0.0,0.0,0.0,0.0,4.0,0.0,0.0
92,Ishant Sharma,4,52.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
93,Kuldeep Yadav,3,51.5,0.0,0.0,0.0,0.0,6.0,0.0,0.0
94,Nathan Coulter-Nile,4,50.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
95,Kane Williamson,6,49.5,124.0,0.0,1.0,0.0,0.0,0.0,0.0
96,Shaun Marsh,6,49.0,159.0,0.0,1.0,4.0,0.0,0.0,0.0
97,Nitish Rana,4,48.5,104.0,0.0,1.0,8.0,0.0,0.0,0.0
98,Pravin Tambe,7,48.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
99,Usman Khawaja,6,48.0,127.0,0.0,0.0,3.0,0.0,0.0,0.0
100,Jayant Yadav,5,47.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
101,Shadab Jakati,6,47.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
102,Imran Tahir,4,45.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
103,Jason Holder,4,42.5,22.0,0.0,0.0,1.0,2.0,0.0,0.0
104,Mitchell Marsh,3,42.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
105,Eoin Morgan,7,41.5,123.0,0.0,1.0,4.0,0.0,0.0,0.0
106,Pradeep Sahu,5,40.5,19.0,0.0,0.0,1.0,3.0,0.0,0.0
107,RP Singh,4,39.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
108,Vinay Kumar,3,39.0,13.0,0.0,0.0,1.0,3.0,0.0,0.0
109,Tabraiz Shamsi,4,39.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
110,Kyle Abbott,5,38.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
111,Shahbaz Nadeem,4,38.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
112,Harshal Patel,5,36.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0
113,Pawan Negi,8,35.0,57.0,0.0,0.0,3.0,1.0,0.0,0.0
114,George Bailey,6,34.5,84.0,0.0,0.0,2.0,0.0,0.0,0.0
115,Parveez Rasool,4,33.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
116,Sam Billings,5,31.5,88.0,0.0,1.0,4.0,0.0,0.0,0.0
117,Sarfaraz Khan,5,31.5,66.0,0.0,0.0,4.0,0.0,0.0,0.0
118,Mitchell Johnson,3,30.5,0.0,0.0,0.0,0.0,2.0,0.0,0.0
119,Ashish Reddy,4,30.0,47.0,0.0,0.0,4.0,1.0,0.0,0.0
120,Karn Sharma,5,30.0,36.0,0.0,0.0,1.0,0.0,0.0,0.0
121,John Hastings,2,29.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
122,Ankit Rajpoot,4,28.5,0.0,0.0,0.0,0.0,3.0,0.0,0.0
123,Albie Morkel,2,25.5,16.0,0.0,0.0,2.0,2.0,0.0,0.0
124,Ankit Sharma,3,23.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
125,Kevin Pietersen,4,23.0,73.0,0.0,0.0,3.0,0.0,0.0,0.0
126,Rishi Dhawan,2,22.5,14.0,0.0,0.0,1.0,2.0,0.0,0.0
127,Scott Boland,2,21.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
128,Irfan Pathan,4,20.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,Shreyas Iyer,6,18.5,30.0,0.0,0.0,1.0,0.0,0.0,0.0
130,Martin Guptill,3,18.0,57.0,0.0,0.0,3.0,0.0,0.0,0.0
131,Colin Munro,4,17.5,30.0,0.0,0.0,0.0,0.0,0.0,0.0
132,Rajagopal Sathish,4,17.5,24.0,0.0,0.0,1.0,1.0,0.0,0.0
133,Trent Boult,1,17.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
134,Eklavya Dwivedi,4,17.0,24.0,0.0,0.0,2.0,0.0,0.0,0.0
135,Deepak Chahar,2,15.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,Ishan Kishan,5,15.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
137,Travis Head,3,14.5,54.0,0.0,0.0,2.0,0.0,0.0,0.0
138,Kedar Jadhav,4,14.5,42.0,0.0,0.0,2.0,0.0,0.0,0.0
139,Adam Milne,1,13.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
140,Anureet Singh,2,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,Pradeep Sangwan,2,11.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,Mayank Agarwal,3,11.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0
143,David Wiese,1,8.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,Farhaan Behardien,3,7.5,14.0,0.0,0.0,0.0,0.0,0.0,0.0
145,Nikhil Naik,2,7.5,23.0,0.0,0.0,0.0,0.0,0.0,0.0
146,Chris Lynn,2,6.0,25.0,0.0,0.0,1.0,0.0,0.0,0.0
147,Jaydev Unadkat,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
148,Aditya Tare,3,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,Dale Steyn,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,Shreyas Gopal,1,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,Lendl Simmons,1,3.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,Swapnil Singh,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Sarabjit Ladda,1,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Mandeep Singh,1,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,Akshdeep Nath,4,2.5,20.0,0.0,0.0,0.0,0.0,0.0,0.0
156,Unmukt Chand,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,Jagadeesha Suchith,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,Peter Handscomb,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
