,Player,Matches,Points,Catches,Stumpings
0,Sunil Narine,16,379.5,1,0
1,Shane Watson,15,318,3,0
2,Rishabh Pant,14,314.5,4,2
3,Lokesh Rahul,14,304.5,10,1
4,Andre Russell,16,292.5,8,0
5,Rashid Khan,17,284,6,0
6,Kane Williamson,17,273,6,0
7,Hardik Pandya,13,269.5,8,0
8,Ambati Rayudu,16,256.5,2,0
9,Krunal Pandya,14,239.5,9,0
10,Shakib Al Hasan,17,237,3,0
11,Suryakumar Yadav,14,228.5,8,0
12,Jos Buttler,13,228.5,9,1
13,Shikhar Dhawan,16,226.5,12,0
14,Dinesh Karthik,16,223.5,14,4
15,Umesh Yadav,14,223,2,0
16,Andrew Tye,14,221,5,0
17,AB de Villiers,12,217.5,6,0
18,Dwayne Bravo,16,216.5,9,0
19,Virat Kohli,14,213,8,0
20,Chris Lynn,16,210.5,3,0
21,Siddarth Kaul,17,209.5,2,0
22,Krishnappa Gowtham,15,207.5,10,0
23,Jasprit Bumrah,14,205,4,0
24,Trent Boult,14,203.5,9,0
25,MS Dhoni,16,200,11,3
26,Shardul Thakur,13,186.5,4,0
27,Suresh Raina,15,179.5,9,0
28,Piyush Chawla,15,175,4,0
29,Yuzvendra Chahal,14,175,2,0
30,Chris Gayle,11,174.5,2,0
31,Ben Stokes,13,173.5,6,0
32,Evin Lewis,13,171.5,3,0
33,Deepak Chahar,12,171,1,0
34,Kuldeep Yadav,16,171,6,0
35,Ravindra Jadeja,16,169.5,11,0
36,Jaydev Unadkat,15,169,6,0
37,Bhuvneshwar Kumar,12,163,2,0
38,Sandeep Sharma,12,163,2,0
39,Robin Uthappa,16,161,5,0
40,Ravichandran Ashwin,14,159.5,5,0
41,Shreyas Iyer,14,158.5,5,0
42,Mitchell McClenaghan,11,158,0,0
43,Jofra Archer,10,158,1,0
44,Sanju Samson,15,154,5,0
45,Mayank Markande,14,152,3,0
46,Nitish Rana,15,150,2,0
47,Mujeeb Ur Rahman,11,149.5,1,0
48,Mohammed Siraj,11,149.5,5,0
49,Ishan Kishan,14,142,9,2
50,Shreyas Gopal,11,126.5,3,0
51,Glenn Maxwell,12,126,4,0
52,Ankit Rajpoot,8,126,2,0
53,Karun Nair,13,125.5,9,0
54,Ajinkya Rahane,15,125,4,0
55,Rohit Sharma,14,124.5,8,0
56,Lungi Ngidi,7,120,1,0
57,Amit Mishra,10,116,0,0
58,Harbhajan Singh,13,113.5,4,0
59,Prithvi Shaw,9,112.5,4,0
60,Yusuf Pathan,15,106.5,3,0
61,Quinton de Kock,8,103,7,3
62,Tim Southee,8,100,3,0
63,Prasidh Krishna,7,97.5,1,0
64,Manish Pandey,15,95,9,0
65,Vijay Shankar,13,92.5,6,0
66,Shivam Mavi,9,91.5,3,0
67,Ben Cutting,9,89,7,0
68,Mustafizur Rahman,7,88.5,2,0
69,Mandeep Singh,14,88.5,4,0
70,Colin de Grandhomme,9,85.5,3,0
71,Harshal Patel,5,84,0,0
72,Chris Woakes,5,83.5,1,0
73,Rahul Tewatia,8,83,2,0
74,Rahul Tripathi,12,83,4,0
75,Mohit Sharma,9,82,2,0
76,Shubman Gill,13,80,3,0
77,Axar Patel,9,78,2,0
78,Carlos Brathwaite,4,76,2,0
79,Moeen Ali,5,73.5,2,0
80,Parthiv Patel,6,71.5,3,0
81,Dhawal Kulkarni,8,70.5,1,0
82,Washington Sundar,7,69.5,0,0
83,Ish Sodhi,6,68.5,0,0
84,Ben Laughlin,7,68,1,0
85,Billy Stanlake,4,67,0,0
86,Faf du Plessis,6,66,1,0
87,Imran Tahir,6,66,2,0
88,Barinder Sran,6,66,2,0
89,Avesh Khan,6,65.5,3,0
90,Brendon McCullum,6,63.5,1,0
91,Mitchell Johnson,6,63,2,0
92,D'Arcy Short,7,61.5,2,0
93,Chris Morris,4,61,2,0
94,Liam Plunkett,7,61,2,0
95,Wriddhiman Saha,11,61,5,1
96,Marcus Stoinis,7,59.5,2,0
97,Kieron Pollard,9,59.5,4,0
98,Alex Hales,6,58.5,2,0
99,Jason Roy,5,57,4,0
100,Aaron Finch,10,53,4,0
101,Sam Billings,10,50,5,0
102,Sandeep Lamichhane,3,47.5,0,0
103,Mohammed Shami,4,46,2,0
104,Tom Curran,5,46,1,0
105,Mayank Agarwal,11,45,2,0
106,Dan Christian,4,39.5,0,0
107,Basil Thampi,4,39.5,2,0
108,Karn Sharma,6,37.5,3,0
109,Colin Munro,5,36.5,2,0
110,Shahbaz Nadeem,6,34,1,0
111,Heinrich Klaasen,4,33.5,3,4
112,David Willey,3,32,2,0
113,Shreevats Goswami,6,31,5,0
114,Murugan Ashwin,2,30.5,0,0
115,Corey Anderson,3,30,0,0
116,Deepak Hooda,9,29,3,0
117,Abhishek Sharma,3,27.5,1,0
118,Javon Searles,4,27.5,4,0
119,KM Asif,2,26.5,0,0
120,Gautam Gambhir,6,26,1,0
121,Sarfaraz Khan,7,26,2,0
122,Kulwant Khejroliya,3,25,0,0
123,Yuvraj Singh,8,24.5,1,0
124,Manoj Tiwary,5,23.5,4,0
125,Mohammad Nabi,2,23,0,0
126,Vinay Kumar,2,22.5,2,0
127,JP Duminy,6,22,2,0
128,Rinku Singh,4,20,4,0
129,Manan Vohra,4,19,0,0
130,Stuart Binny,7,16.5,1,0
131,David Miller,3,14.5,0,0
132,Pawan Negi,2,12.5,0,0
133,Chris Jordan,1,11,0,0
134,Anureet Singh,3,10,1,0
135,Kedar Jadhav,1,9.5,0,0
136,Mark Wood,1,8.5,1,0
137,Junior Dala,1,7,0,0
138,Khaleel Ahmed,1,7,0,0
139,Akila Dananjaya,1,6,0,0
140,Akshdeep Nath,1,5,1,0
141,Pradeep Sangwan,1,5,0,0
142,Prashant Chopra,1,5,0,0
143,Mahipal Lomror,2,4.5,0,0
144,Dhruv Shorey,1,3.5,0,0
145,Murali Vijay,1,3.5,0,0
146,Ankit Sharma,1,1,0,0
147,Naman Ojha,1,0,0,0
148,Ricky Bhui,1,0,0,0