,Player,Matches,Runs,Average,S/R,100s,50s,4s,6s
0,Kane Williamson,17,735,52.5,142.44,0,8,64,28
1,Rishabh Pant,14,684,52.61,173.6,1,5,68,37
2,Lokesh Rahul,14,659,54.91,158.41,0,6,66,32
3,Ambati Rayudu,16,602,43,149.75,1,3,53,34
4,Shane Watson,15,555,39.64,154.59,2,2,44,35
5,Jos Buttler,13,548,54.8,155.24,0,5,52,21
6,Virat Kohli,14,530,48.18,139.1,0,4,52,18
7,Suryakumar Yadav,14,512,36.57,133.33,0,4,61,16
8,Dinesh Karthik,16,498,49.8,147.77,0,2,49,16
9,Shikhar Dhawan,16,497,38.23,136.91,0,4,59,14
10,Chris Lynn,16,491,32.73,130.23,0,3,56,18
11,AB de Villiers,12,480,53.33,174.54,0,6,39,30
12,MS Dhoni,16,455,75.83,150.66,0,3,24,30
13,Suresh Raina,15,445,37.08,132.44,0,4,46,12
14,Sanju Samson,15,441,31.5,137.81,0,3,30,19
15,Shreyas Iyer,14,411,37.36,132.58,0,4,29,21
16,Evin Lewis,13,382,29.38,138.4,0,2,32,24
17,Ajinkya Rahane,15,370,28.46,118.21,0,1,39,5
18,Chris Gayle,11,368,40.88,146.03,1,3,30,27
19,Sunil Narine,16,357,22.31,189.89,0,2,40,23
20,Robin Uthappa,16,351,21.93,132.45,0,1,30,21
21,Andre Russell,16,316,28.72,184.79,0,1,17,31
22,Nitish Rana,15,304,23.38,131.03,0,1,26,14
23,Karun Nair,13,301,25.08,136.19,0,2,23,13
24,Rohit Sharma,14,286,23.83,133.02,0,2,25,12
25,Manish Pandey,15,284,25.81,115.44,0,3,22,5
26,Ishan Kishan,14,275,22.91,149.45,0,2,22,17
27,Hardik Pandya,13,260,28.88,133.33,0,1,20,11
28,Yusuf Pathan,15,260,28.88,130,0,0,22,11
29,Mandeep Singh,14,252,25.2,135.48,0,0,16,11
30,Prithvi Shaw,9,245,27.22,153.12,0,2,27,10
31,Shakib Al Hasan,17,239,21.72,121.31,0,0,26,5
32,Krunal Pandya,14,228,22.8,145.22,0,0,22,10
33,Rahul Tripathi,12,226,25.11,135.32,0,1,18,8
34,Vijay Shankar,13,212,53,143.24,0,1,11,11
35,Shubman Gill,13,203,33.83,146.04,0,1,22,5
36,Quinton de Kock,8,201,25.12,124.07,0,1,20,8
37,Ben Stokes,13,196,16.33,121.73,0,0,13,6
38,Glenn Maxwell,12,169,14.08,140.83,0,0,14,9
39,Faf du Plessis,6,162,32.4,125.58,0,1,17,6
40,Parthiv Patel,6,153,30.6,140.36,0,1,20,4
41,Alex Hales,6,148,24.66,125.42,0,0,13,6
42,Dwayne Bravo,16,141,35.25,154.94,0,1,8,10
43,Aaron Finch,10,134,16.75,134,0,0,6,8
44,Kieron Pollard,9,133,19,133,0,1,10,7
45,Colin de Grandhomme,9,131,26.2,155.95,0,0,4,10
46,Brendon McCullum,6,127,21.16,144.31,0,0,16,6
47,Krishnappa Gowtham,15,126,14,196.87,0,0,9,9
48,Wriddhiman Saha,11,122,15.25,119.6,0,0,17,1
49,Mayank Agarwal,11,120,12,127.65,0,0,9,5
50,Jason Roy,5,120,30,127.65,0,1,9,7
51,D'Arcy Short,7,115,16.42,116.16,0,0,11,5
52,Sam Billings,10,108,13.5,138.46,0,1,8,5
53,Ravichandran Ashwin,14,102,12.75,143.66,0,0,7,5
54,Marcus Stoinis,7,99,24.75,130.26,0,0,6,4
55,Ben Cutting,9,96,24,165.51,0,0,5,8
56,Ravindra Jadeja,16,89,17.8,120.27,0,0,3,4
57,Deepak Hooda,9,87,21.75,107.4,0,0,2,3
58,Gautam Gambhir,6,85,17,96.59,0,1,8,1
59,Axar Patel,9,80,13.33,115.94,0,0,3,4
60,Moeen Ali,5,77,19.25,167.39,0,1,4,6
61,Carlos Brathwaite,4,75,25,156.25,0,0,1,8
62,David Miller,3,74,37,115.62,0,0,3,2
63,Yuvraj Singh,8,65,10.83,89.04,0,0,6,2
64,Washington Sundar,7,65,21.66,171.05,0,0,5,4
65,Colin Munro,5,63,12.6,153.65,0,0,7,4
66,Abhishek Sharma,3,63,63,190.9,0,0,3,5
67,Harshal Patel,5,60,60,181.81,0,0,1,6
68,Rashid Khan,17,59,11.8,190.32,0,0,3,6
69,Heinrich Klaasen,4,57,19,121.27,0,0,5,1
70,Manan Vohra,4,55,13.75,117.02,0,0,2,4
71,Tim Southee,8,52,26,113.04,0,0,5,1
72,Shreevats Goswami,6,52,17.33,130,0,0,6,1
73,Sarfaraz Khan,7,51,10.2,124.39,0,0,7,1
74,Deepak Chahar,12,50,16.66,172.41,0,0,1,4
75,Rahul Tewatia,8,50,16.66,116.27,0,0,5,1
76,Shreyas Gopal,11,50,16.66,111.11,0,0,5,0
77,Jaydev Unadkat,15,49,12.25,128.94,0,0,6,1
78,Manoj Tiwary,5,47,15.66,106.81,0,0,4,1
79,Chris Morris,4,46,46,176.92,0,0,3,2
80,Stuart Binny,7,44,8.8,112.82,0,0,2,2
81,JP Duminy,6,36,36,90,0,0,3,1
82,Andrew Tye,14,32,5.33,84.21,0,0,2,1
83,Harbhajan Singh,13,29,9.66,80.55,0,0,3,1
84,Rinku Singh,4,29,7.25,93.54,0,0,4,0
85,Piyush Chawla,15,27,6.75,79.41,0,0,1,1
86,Dan Christian,4,26,13,78.78,0,0,0,1
87,Mohammed Siraj,11,25,12.5,113.63,0,0,2,1
88,Kedar Jadhav,1,24,-,109.09,0,0,1,2
89,Tom Curran,5,23,7.66,82.14,0,0,3,0
90,Mayank Markande,14,21,10.5,87.5,0,0,2,0
91,Mahipal Lomror,2,20,20,95.23,0,0,1,0
92,Mohammad Nabi,2,18,9,150,0,0,3,0
93,Chris Woakes,5,17,8.5,89.47,0,0,1,1
94,Corey Anderson,3,17,5.66,77.27,0,0,0,1
95,Mitchell Johnson,6,16,-,145.45,0,0,2,0
96,Shardul Thakur,13,15,-,300,0,0,3,0
97,Jofra Archer,10,15,3,71.42,0,0,2,0
98,Bhuvneshwar Kumar,12,13,6.5,81.25,0,0,1,0
99,Shivam Mavi,9,13,4.33,86.66,0,0,1,0