,Player,Matches,Overs,Runs,Wickets,Average,Economy,S/R,4w,5w
0,Andrew Tye,14,56,448,24,18.66,8,14,3,0
1,Rashid Khan,17,68,458,21,21.8,6.73,19.42,0,0
2,Siddarth Kaul,17,66,547,21,26.04,8.28,18.85,0,0
3,Umesh Yadav,14,53.1,418,20,20.9,7.86,15.95,0,0
4,Trent Boult,14,52.4,466,18,25.88,8.84,17.55,0,0
5,Hardik Pandya,13,42.4,381,18,21.16,8.92,14.22,0,0
6,Jasprit Bumrah,14,54,372,17,21.88,6.88,19.05,0,0
7,Sunil Narine,16,61,467,17,27.47,7.65,21.52,0,0
8,Kuldeep Yadav,16,51.2,418,17,24.58,8.14,18.11,1,0
9,Shardul Thakur,13,46.4,431,16,26.93,9.23,17.5,0,0
10,Mayank Markande,14,44,368,15,24.53,8.36,17.6,1,0
11,Jofra Archer,10,38.5,325,15,21.66,8.36,15.53,0,0
12,Mujeeb Ur Rahman,11,41.2,289,14,20.64,6.99,17.71,0,0
13,Shakib Al Hasan,17,57,456,14,32.57,8,24.42,0,0
14,Mitchell McClenaghan,11,40,332,14,23.71,8.3,17.14,0,0
15,Piyush Chawla,15,49,412,14,29.42,8.4,21,0,0
16,Dwayne Bravo,16,53.3,533,14,38.07,9.96,22.92,0,0
17,Andre Russell,16,37.5,355,13,27.3,9.38,17.46,0,0
18,Krunal Pandya,14,40.1,284,12,23.66,7.07,20.08,0,0
19,Amit Mishra,10,37,264,12,22,7.13,18.5,0,0
20,Yuzvendra Chahal,14,50,363,12,30.25,7.26,25,0,0
21,Sandeep Sharma,12,44,333,12,27.75,7.56,22,0,0
22,Lungi Ngidi,7,26,156,11,14.18,6,14.18,1,0
23,Ravindra Jadeja,16,41,303,11,27.54,7.39,22.36,0,0
24,Shreyas Gopal,11,31,236,11,21.45,7.61,16.9,1,0
25,Krishnappa Gowtham,15,40,312,11,28.36,7.8,21.81,0,0
26,Ankit Rajpoot,8,26.1,223,11,20.27,8.52,14.27,0,1
27,Mohammed Siraj,11,41,367,11,33.36,8.95,22.36,0,0
28,Jaydev Unadkat,15,50.2,486,11,44.18,9.65,27.45,0,0
29,Deepak Chahar,12,38.1,278,10,27.8,7.28,22.9,0,0
30,Ravichandran Ashwin,14,50.4,410,10,41,8.09,30.4,0,0
31,Prasidh Krishna,7,28,260,10,26,9.28,16.8,1,0
32,Bhuvneshwar Kumar,12,46.1,354,9,39.33,7.66,30.77,0,0
33,Ben Laughlin,7,21,211,9,23.44,10.04,14,0,0
34,Ben Stokes,13,37,303,8,37.87,8.18,27.75,0,0
35,Chris Woakes,5,18.2,190,8,23.75,10.36,13.75,0,0
36,Mustafizur Rahman,7,27.3,230,7,32.85,8.36,23.57,0,0
37,Harbhajan Singh,13,31.5,270,7,38.57,8.48,27.28,0,0
38,Harshal Patel,5,17.3,167,7,23.85,9.54,15,0,0
39,Mohit Sharma,9,29.4,322,7,46,10.85,25.42,0,0
40,Rahul Tewatia,8,22,173,6,28.83,7.86,22,0,0
41,Shane Watson,15,28,251,6,41.83,8.96,28,0,0
42,Imran Tahir,6,20.4,188,6,31.33,9.09,20.66,0,0
43,Tom Curran,5,10.1,118,6,19.66,11.6,10.16,0,0
44,Ish Sodhi,6,23,135,5,27,5.86,27.6,0,0
45,Sandeep Lamichhane,3,12,82,5,16.4,6.83,14.4,0,0
46,Billy Stanlake,4,16,130,5,26,8.12,19.2,0,0
47,Glenn Maxwell,12,16,132,5,26.4,8.25,19.2,0,0
48,Tim Southee,8,29,261,5,52.2,9,34.8,0,0
49,Carlos Brathwaite,4,10.1,94,5,18.8,9.24,12.2,0,0
50,Shivam Mavi,9,28,270,5,54,9.64,33.6,0,0
51,Basil Thampi,4,10.1,114,5,22.8,11.21,12.2,0,0
52,Nitish Rana,15,6.1,44,4,11,7.13,9.25,0,0
53,Dan Christian,4,11.5,101,4,25.25,8.53,17.75,0,0
54,Liam Plunkett,7,25,225,4,56.25,9,37.5,0,0
55,Karn Sharma,6,9.3,89,4,22.25,9.36,14.25,0,0
56,Dhawal Kulkarni,8,19.5,188,4,47,9.47,29.75,0,0
57,Washington Sundar,7,20,192,4,48,9.6,30,0,0
58,Barinder Sran,6,22,229,4,57.25,10.4,33,0,0
59,Avesh Khan,6,19,204,4,51,10.73,28.5,0,0
60,Moeen Ali,5,13.1,97,3,32.33,7.36,26.33,0,0
61,Murugan Ashwin,2,7,53,3,17.66,7.57,14,0,0
62,Axar Patel,9,26,218,3,72.66,8.38,52,0,0
63,Chris Morris,4,14,143,3,47.66,10.21,28,0,0
64,Mohammed Shami,4,13.5,144,3,48,10.4,27.66,0,0
65,Shahbaz Nadeem,6,15,161,3,53.66,10.73,30,0,0
66,Marcus Stoinis,7,11,120,3,40,10.9,22,0,0
67,KM Asif,2,6,75,3,25,12.5,12,0,0
68,Corey Anderson,3,8.4,115,3,38.33,13.26,17.33,0,0
69,Colin de Grandhomme,9,15,129,2,64.5,8.6,45,0,0
70,David Willey,3,10,95,2,47.5,9.5,30,0,0
71,Kulwant Khejroliya,3,10.5,107,2,53.5,9.87,32.5,0,0
72,Ben Cutting,9,17,168,2,84,9.88,51,0,0
73,Mitchell Johnson,6,21,216,2,108,10.28,63,0,0
74,Javon Searles,4,7,89,2,44.5,12.71,21,0,0
75,Vinay Kumar,2,3.5,65,2,32.5,16.95,11.5,0,0
76,D'Arcy Short,7,3,19,1,19,6.33,18,0,0
77,Yusuf Pathan,15,2,14,1,14,7,12,0,0
78,Mohammad Nabi,2,5,47,1,47,9.4,30,0,0
79,Anureet Singh,3,4,42,1,42,10.5,24,0,0
80,Vijay Shankar,13,5,58,1,58,11.6,30,0,0
81,Pawan Negi,2,4,49,1,49,12.25,24,0,0
82,Chris Jordan,1,4,31,0,-,7.75,-,0,0
83,Deepak Hooda,9,3,24,0,-,8,-,0,0
84,Mahipal Lomror,2,3,27,0,-,9,-,0,0
85,Pradeep Sangwan,1,2,19,0,-,9.5,-,0,0
86,Manoj Tiwary,5,1,10,0,-,10,-,0,0
87,Ankit Sharma,1,1,11,0,-,11,-,0,0
88,Junior Dala,1,3,34,0,-,11.33,-,0,0
89,Yuvraj Singh,8,2,23,0,-,11.5,-,0,0
90,Akila Dananjaya,1,4,47,0,-,11.75,-,0,0
91,JP Duminy,6,3,36,0,-,12,-,0,0
92,Mark Wood,1,4,49,0,-,12.25,-,0,0
93,Khaleel Ahmed,1,3,38,0,-,12.66,-,0,0
94,Stuart Binny,7,2,33,0,-,16.5,-,0,0